question_set,question,choice,"Organization","Issue area","Financial transparency","Accountability","Funding sources","Relationship with host government"
5,11,2,4,1,1,1,1,2
5,11,3,4,2,1,1,2,3
5,12,1,1,1,2,1,1,2
5,12,2,1,4,2,1,3,3
5,12,3,4,1,2,2,2,2
6,1,1,2,3,1,2,2,3
6,1,2,1,3,1,2,1,1
6,1,3,2,1,1,1,2,1
6,2,1,3,4,2,2,2,2
6,2,2,2,3,2,2,2,1
6,2,3,4,2,1,2,2,3
6,3,1,4,3,2,2,2,1
6,3,2,2,4,2,2,1,3
6,3,3,4,4,2,1,3,3
6,4,1,2,4,2,1,2,1
6,4,2,4,1,2,1,1,3
6,4,3,2,4,1,2,1,1
6,5,1,3,1,2,1,1,2
6,5,2,4,1,2,1,3,1
6,5,3,2,2,1,1,2,2
6,6,1,3,4,2,2,1,2
6,6,2,1,3,1,2,3,3
6,6,3,1,4,1,2,2,2
6,7,1,3,1,1,1,3,3
6,7,2,3,3,2,2,3,1
6,7,3,1,2,1,1,2,3
6,8,1,2,2,1,1,3,2
6,8,2,4,2,1,1,3,2
6,8,3,3,1,2,1,3,3
6,9,1,2,3,1,2,1,3
6,9,2,1,3,2,2,1,2
6,9,3,1,1,1,2,1,3
6,10,1,4,1,1,1,2,1
6,10,2,1,1,2,2,3,1
6,10,3,3,2,2,1,3,2
6,11,1,3,2,1,2,1,1
6,11,2,1,2,2,1,1,2
6,11,3,4,2,1,1,1,2
6,12,1,4,3,2,1,3,2
6,12,2,1,4,2,2,2,3
6,12,3,3,4,1,1,3,1
7,1,1,4,3,2,2,1,3
7,1,2,1,3,1,2,2,2
7,1,3,2,3,2,2,3,1
7,2,1,4,1,2,1,2,3
7,2,2,2,1,1,1,3,3
7,2,3,1,2,2,2,3,3
7,3,1,4,2,1,1,3,3
7,3,2,1,2,1,2,2,3
7,3,3,1,2,2,2,2,2
7,4,1,4,4,1,2,1,1
7,4,2,1,4,1,1,3,1
7,4,3,2,4,1,2,1,2
7,5,1,1,2,1,1,1,2
7,5,2,2,1,2,1,3,2
7,5,3,1,3,2,2,2,1
7,6,1,1,4,1,2,1,3
7,6,2,3,1,2,1,1,1
7,6,3,2,1,2,2,2,2
7,7,1,1,3,2,1,3,1
7,7,2,3,4,1,1,1,2
7,7,3,4,3,2,1,3,1
7,8,1,3,1,1,2,1,3
7,8,2,2,3,2,1,1,1
7,8,3,2,2,1,2,2,1
7,9,1,3,1,1,2,2,1
7,9,2,4,2,1,2,3,1
7,9,3,3,3,1,1,2,2
7,10,1,2,4,2,1,1,1
7,10,2,3,4,1,1,3,3
7,10,3,3,1,2,2,3,3
7,11,1,3,1,2,1,1,2
7,11,2,4,4,2,1,2,3
7,11,3,4,4,1,2,2,3
7,12,1,4,2,2,2,1,2
7,12,2,2,2,1,1,2,2
7,12,3,3,3,2,1,3,2
8,1,1,4,2,2,2,2,3
8,1,2,4,1,2,1,3,3
8,1,3,1,4,2,1,3,3
8,2,1,1,1,1,1,2,1
8,2,2,4,3,2,2,2,3
8,2,3,3,2,1,1,2,2
8,3,1,4,2,1,1,3,2
8,3,2,4,2,2,2,3,3
8,3,3,1,3,2,2,3,1
8,4,1,4,3,1,1,2,2
8,4,2,2,2,2,2,1,1
8,4,3,3,3,1,1,3,1
8,5,1,1,4,1,2,1,2
8,5,2,2,2,2,2,2,3
8,5,3,2,4,1,2,1,3
8,6,1,3,4,2,1,2,3
8,6,2,3,1,1,1,3,2
8,6,3,4,1,2,1,2,2
8,7,1,1,4,1,1,1,1
8,7,2,2,4,2,1,3,3
8,7,3,4,3,2,1,1,2
8,8,1,2,1,1,2,3,1
8,8,2,3,1,1,1,3,1
8,8,3,3,4,1,2,2,1
8,9,1,3,2,2,1,3,1
8,9,2,1,1,2,2,1,2
8,9,3,2,3,1,2,1,3
8,10,1,3,4,2,1,2,2
8,10,2,1,1,1,2,1,2
8,10,3,1,3,2,2,1,3
8,11,1,2,4,2,2,3,1
8,11,2,1,2,1,2,1,1
8,11,3,2,3,1,1,1,2
8,12,1,3,2,1,1,2,2
8,12,2,4,3,2,2,1,3
8,12,3,2,1,1,2,2,1
9,1,1,2,4,1,1,1,1
9,1,2,4,4,2,2,1,1
9,1,3,4,2,2,1,3,2
9,2,1,4,4,1,2,2,3
9,2,2,3,3,2,2,2,1
9,2,3,3,4,1,1,3,1
9,3,1,3,3,1,1,1,2
9,3,2,2,1,1,2,3,3
9,3,3,4,4,2,1,2,3
9,4,1,3,1,1,1,3,3
9,4,2,2,1,1,2,2,2
9,4,3,4,1,1,2,2,2
9,5,1,4,2,1,2,3,1
9,5,2,1,2,2,2,2,3
9,5,3,2,1,1,2,2,3
9,6,1,4,1,1,1,3,3
9,6,2,3,2,1,1,1,1
9,6,3,1,4,2,1,1,1
9,7,1,2,3,2,2,1,2
9,7,2,4,3,1,2,1,1
9,7,3,1,4,2,2,1,3
9,8,1,1,2,2,1,3,2
9,8,2,3,2,2,1,1,3
9,8,3,4,4,2,1,2,3
9,9,1,2,1,2,1,2,2
9,9,2,1,3,2,2,2,1
9,9,3,3,3,1,1,3,1
9,10,1,1,3,2,1,1,2
9,10,2,1,3,2,2,3,1
9,10,3,2,1,1,1,3,1
9,11,1,3,2,1,1,1,3
9,11,2,1,2,2,2,2,3
9,11,3,2,4,2,2,2,2
9,12,1,3,1,2,2,3,2
9,12,2,2,3,1,1,1,2
9,12,3,1,2,1,2,3,2
10,1,1,4,3,1,1,3,1
10,1,2,3,4,1,1,2,2
10,1,3,2,1,1,2,3,1
10,2,1,2,2,2,1,1,1
10,2,2,3,1,2,2,2,3
10,2,3,3,1,1,1,3,2
10,3,1,3,4,1,2,3,1
10,3,2,4,4,1,1,3,1
10,3,3,1,3,2,1,3,2
10,4,1,2,1,1,2,1,3
10,4,2,4,4,2,2,1,2
10,4,3,4,2,2,1,3,3
10,5,1,2,4,2,2,3,3
10,5,2,1,1,2,1,3,1
10,5,3,2,2,1,2,1,2
10,6,1,2,1,1,1,2,3
10,6,2,1,2,2,1,2,3
10,6,3,4,3,1,2,2,3
10,7,1,1,2,1,1,3,2
10,7,2,4,4,2,1,2,1
10,7,3,1,1,2,2,1,2
10,8,1,3,1,2,2,1,2
10,8,2,3,2,2,2,3,1
10,8,3,3,3,1,1,2,2
10,9,1,4,4,1,1,3,2
10,9,2,1,2,1,2,2,3
10,9,3,2,2,2,2,1,3
10,10,1,1,3,2,2,1,2
10,10,2,2,2,2,2,1,1
10,10,3,1,3,2,1,1,1
10,11,1,3,1,1,1,2,1
10,11,2,4,3,2,2,2,1
10,11,3,3,4,1,2,1,2
10,12,1,4,3,1,1,2,3
10,12,2,2,3,1,2,2,3
10,12,3,1,4,2,1,1,3
11,1,1,3,4,1,2,2,2
11,1,2,4,2,2,2,2,2
11,1,3,4,2,1,1,2,3
11,2,1,2,4,2,2,1,3
11,2,2,2,2,2,1,2,2
11,2,3,3,1,2,1,3,1
